region,CountyFipsCode,MedianIncome,population
Alachua,12001,39614,257062
Baker,12003,46505,26965
Bay,12005,45249,176016
Bradford,12007,40668,27440
Brevard,12009,46677,568919
Broward,12011,50343,1854513
Calhoun,12013,33977,14580
Charlotte,12015,43611,170450
Citrus,12017,39285,143054
Clay,12019,57991,205321
Collier,12021,55584,350202
Columbia,12023,41722,68566
DeSoto,12027,33198,35141
Dixie,12029,31649,16773
Duval,12031,47876,923647
Escambia,12033,42742,309986
Flagler,12035,47872,103095
Franklin,12037,33471,11916
Gadsden,12039,34348,48486
Gilchrist,12041,39854,16848
Glades,12043,39003,13047
Gulf,12045,38880,16628
Hamilton,12047,33836,14665
Hardee,12049,34884,27637
Hendry,12051,37085,38370
Hernando,12053,39280,179503
Highlands,12055,34054,101531
Hillsborough,12057,49510,1352797
Holmes,12059,33220,20003
Indian River,12061,44326,146410
Jackson,12063,36332,50345
Jefferson,12065,39494,14498
Lafayette,12067,37120,8621
Lake,12069,44244,323985
Lee,12071,46605,680539
Leon,12073,46975,287671
Levy,12075,33193,40553
Liberty,12077,36561,8736
Madison,12079,30391,19238
Manatee,12081,48066,357591
Marion,12083,38783,345749
Martin,12085,51159,150870
Miami-Dade,12086,41840,2700794
Monroe,12087,50380,76047
Nassau,12089,56987,77841
Okaloosa,12091,54265,192925
Okeechobee,12093,35954,40806
Orange,12095,46675,1280387
Osceola,12097,41592,322862
Palm Beach,12099,51768,1391741
Pasco,12101,45454,495868
Pinellas,12103,43773,954569
Polk,12105,42447,646989
Putnam,12107,32852,72972
Santa Rosa,12113,54876,167009
Sarasota,12115,48717,399538
Seminole,12117,55195,449124
St. Johns,12109,66312,220257
St. Lucie,12111,42825,292826
Sumter,12119,52670,118577
Suwannee,12121,35666,44349
Taylor,12123,38370,22478
Union,12125,40841,15887
Volusia,12127,40908,517411
Wakulla,12129,47430,31599
Walton,12131,45357,62943
Washington,12133,35671,24888
