region,CountyFipsCode,MedianIncome,Trump_Pence_Rep,Clinton_Kaine_Dem,Winner,ClintonVote,TrumpVote
Alachua,12001,39614,46834,75820,Clinton,59.71254184,36.88442607
Baker,12003,46505,10294,2112,Trump,16.7645658,81.71138276
Bay,12005,45249,62194,21797,Trump,25.10538804,71.63391767
Bradford,12007,40668,8913,2924,Trump,24.27160289,73.98522454
Brevard,12009,46677,181848,119679,Trump,38.39286287,58.33659479
Broward,12011,50343,260951,553320,Clinton,66.96713851,31.58234252
Calhoun,12013,33977,4655,1241,Trump,20.52936311,77.00578991
Charlotte,12015,43611,60218,33445,Trump,34.93461185,62.90005849
Citrus,12017,39285,54456,22789,Trump,28.79180301,68.8001415
Clay,12019,57991,74963,27822,Trump,26.29330712,70.84412271
Collier,12021,55584,105423,61085,Trump,35.94440489,62.03432916
Columbia,12023,41722,20368,7601,Trump,26.6365293,71.37650687
DeSoto,12027,33198,6778,3781,Trump,35.18191123,63.06876338
Dixie,12029,31649,5822,1270,Trump,17.69048614,81.09764591
Duval,12031,47876,211672,205704,Trump,47.90041007,49.29012367
Escambia,12033,42742,88808,57461,Trump,37.9791931,58.69818105
Flagler,12035,47872,33850,22026,Trump,38.59200336,59.30896731
Franklin,12037,33471,4125,1744,Trump,29.1638796,68.97993311
Gadsden,12039,34348,6728,15020,Clinton,68.19213657,30.5457187
Gilchrist,12041,39854,6740,1458,Trump,17.41727392,80.51606738
Glades,12043,39003,2996,1271,Trump,29.35334873,69.19168591
Gulf,12045,38880,5329,1720,Trump,23.69798843,73.42243042
Hamilton,12047,33836,3443,1904,Trump,35.01931212,63.32536325
Hardee,12049,34884,5242,2149,Trump,28.45603814,69.41207627
Hendry,12051,37085,6195,4615,Trump,41.78361249,56.08872793
Hernando,12053,39280,58970,31795,Trump,34.1859665,63.40451154
Highlands,12055,34054,29565,14937,Trump,32.86613272,65.05236754
Hillsborough,12057,49510,266870,307896,Clinton,52.02773948,45.09523616
Holmes,12059,33220,7483,853,Trump,10.05185011,88.18053264
Indian River,12061,44326,48620,29043,Trump,36.51967256,61.13646938
Jackson,12063,36332,14257,6397,Trump,30.51712623,68.01354833
Jefferson,12065,39494,3930,3541,Trump,46.60436957,51.72413793
Lafayette,12067,37120,2809,518,Trump,15.32544379,83.10650888
Lake,12069,44244,102188,62838,Trump,37.10912817,60.34736289
Lee,12071,46605,191551,124908,Trump,38.55197084,59.12086148
Leon,12073,46975,53821,92068,Clinton,61.12520083,35.73249592
Levy,12075,33193,13775,5101,Trump,26.45746888,71.44709544
Liberty,12077,36561,2543,651,Trump,19.85361391,77.55413236
Madison,12079,30391,4851,3526,Trump,41.58018868,57.20518868
Manatee,12081,48066,101944,71224,Trump,40.08915706,57.38022334
Marion,12083,38783,107833,62041,Trump,35.74737546,62.13224702
Martin,12085,51159,53204,30185,Trump,35.39558391,62.38816121
Miami-Dade,12086,41840,333999,624146,Clinton,64.17049732,34.33953263
Monroe,12087,50380,21904,18971,Trump,45.1185578,52.09408519
Nassau,12089,56987,34266,10869,Trump,23.42608358,73.85391297
Okaloosa,12091,54265,71893,23780,Trump,23.74130168,71.77600511
Okeechobee,12093,35954,9356,3959,Trump,29.15316642,68.89543446
Orange,12095,46675,195216,329894,Clinton,61.0032527,36.0989014
Osceola,12097,41592,50301,85458,Clinton,61.5124381,36.20652424
Palm Beach,12099,51768,272402,374673,Clinton,56.92699692,41.38816465
Pasco,12101,45454,142101,90142,Trump,37.72421009,59.46892655
Pinellas,12103,43773,239201,233701,Trump,47.95155211,49.08006049
Polk,12105,42447,157430,117433,Trump,41.59217125,55.75822401
Putnam,12107,32852,22138,10094,Trump,30.70231469,67.33582748
Santa Rosa,12113,54876,65339,18464,Trump,21.1828142,74.96013308
Sarasota,12115,48717,124438,97870,Trump,43.05062528,54.73724031
Seminole,12117,55195,109443,105914,Trump,47.5624652,49.14722207
St. Johns,12109,66312,88684,43099,Trump,31.7928328,65.41951284
St. Lucie,12111,42825,70289,66881,Trump,47.82475008,50.26171646
Sumter,12119,52670,52730,22638,Trump,29.62197244,68.99755309
Suwannee,12121,35666,14287,3964,Trump,21.30953661,76.80356951
Taylor,12123,38370,6930,2152,Trump,23.25732195,74.89462877
Union,12125,40841,4568,1014,Trump,17.85525621,80.4366966
Volusia,12127,40908,143007,109091,Trump,42.17723633,55.28998759
Wakulla,12129,47430,10512,4348,Trump,28.47413229,68.84086444
Walton,12131,45357,25756,6876,Trump,20.54070202,76.94100075
Washington,12133,35671,8637,2264,Trump,20.34690393,77.62200054
