Model Year,Vehicle Manufacturer Name,Veh Mfr Code,Represented Test Veh Make,Represented Test Veh Model,Test Vehicle ID,Test Veh Configuration #,Test Veh Displacement (L),Actual Tested Testgroup,Vehicle Type,Rated Horsepower,# of Cylinders and Rotors,Engine Code,Tested Transmission Type Code,Tested Transmission Type,# of Gears,Transmission Lockup?,Drive System Code,Drive System Description,Transmission Overdrive Code,Transmission Overdrive Desc,Equivalent Test Weight (lbs.),Axle Ratio,N/V Ratio,Shift Indicator Light Use Cd,Shift Indicator Light Use Desc,Test Number,Test Originator,Analytically Derived FE?,ADFE Test Number,ADFE Total Road Load HP,ADFE Equiv. Test Weight (lbs.),ADFE N/V Ratio,Test Procedure Cd,Test Procedure Description,Test Fuel Type Cd,Test Fuel Type Description,Test Category,THC (g/mi),CO (g/mi),CO2 (g/mi),NOx (g/mi),PM (g/mi),CH4 (g/mi),N2O (g/mi),RND_ADJ_FE,FE_UNIT,FE Bag 1,FE Bag 2,FE Bag 3,FE Bag 4,DT-Inertia Work Ratio Rating,DT-Absolute Speed Change Ratg,DT-Energy Economy Rating,Target Coef A (lbf),Target Coef B (lbf/mph),Target Coef C (lbf/mph**2),Set Coef A (lbf),Set Coef B (lbf/mph),Set Coef C (lbf/mph**2),Aftertreatment Device Cd,Aftertreatment Device Desc,Police - Emergency Vehicle?,Averaging Group ID,Averaging Weighting Factor,Averaging Method Cd,Averging Method Desc
2018,aston martin,ASX,Aston Martin,Rapide S,410TT4202,0,6.000,FASXV06.0VHB,Car,552,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4750,2.73,22.4,1,Not eqipped,FASX10032202,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0269000,0.5000000,511.9300000,0.0090000,,0.0066000,,17.3,MPG,17.4380000,15.9560000,20.4130000,,99.9900000,99.9900000,99.9900000,32.660,0.60850,0.019800,1.093,2.19800,0.028000,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,Rapide S,410TT4202,0,6.000,FASXV06.0VHB,Car,552,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4750,2.73,22.4,1,Not eqipped,FASX10032203,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0008000,0.0600000,296.6300000,0.0010000,,,,29.9,MPG,,,,,99.9900000,99.9900000,99.9900000,32.660,0.60850,0.019800,1.093,2.19800,0.028000,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,Vanquish,314TT3175,0,6.000,FASXV06.0VHB,Car,568,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.73,23.2,1,Not eqipped,FASX10032317,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0293000,0.3350000,536.1800000,0.0141000,,0.0048000,,16.5,MPG,16.7780000,15.1950000,19.5190000,,99.9900000,99.9900000,99.9900000,43.170,0.75020,0.016300,4.810,0.89400,0.014000,TWC,Three-way catalyst,N,,,N,No averaging
2018,aston martin,ASX,Aston Martin,Vanquish,314TT3175,0,6.000,FASXV06.0VHB,Car,568,12,AM29/,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4500,2.73,23.2,1,Not eqipped,FASX10032318,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0005000,0.0375800,309.2200000,0.0017900,,,,28.7,MPG,,,,,99.9900000,99.9900000,99.9900000,43.170,0.75020,0.016300,4.810,0.89400,0.014000,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022242,MFR,No,,,,,90,US06,61,Tier 2 Cert Gasoline,US06,0.0143000,0.1910000,510.0000000,0.0463000,0.0480000,0.0059000,,17.4,MPG,10.3000000,21.7000000,,,,,,54.853,0.04883,0.022116,7.614,-0.00830,0.020935,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022243,MFR,No,,,,,95,SC03,61,Tier 2 Cert Gasoline,SC03,0.0711000,0.7680000,625.0000000,0.0420000,0.0040000,0.0235000,,14.2,MPG,,,,,,,,54.853,0.04883,0.022116,7.614,-0.00830,0.020935,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022245,MFR,No,,,,,11,Cold CO,27,Cold CO Premium (Tier 2),FTP,0.4998000,4.8700000,648.0000000,0.0421000,,0.0654000,,13.6,MPG,11.3000000,13.3000000,17.2000000,,,,,60.339,0.05372,0.024328,8.376,-0.00750,0.023028,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022356,MFR,No,,,,,21,Federal fuel 2-day exhaust (w/can load),61,Tier 2 Cert Gasoline,FTP,0.0345000,0.2850000,617.0000000,0.0255000,0.0010000,0.0137000,0.0060000,14.4,MPG,14.8000000,13.1000000,17.3000000,,,,,54.853,0.04883,0.022116,7.614,-0.00830,0.020935,TWC,Three-way catalyst,N,,,N,No averaging
2018,Bentley,BEX,BENTLEY,Continental GT,BY77623/13,0,5.998,DBEXV06.04UC,Car,616,12,CVA-A,SA,Semi-Automatic,8,Y,F,"2-Wheel Drive, Front",2,Top gear ratio < 1,6000,2.85,24.9,1,Not eqipped,DBEX10022357,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0023000,0.0130000,333.0000000,0.0086000,,0.0003000,0.0010000,26.7,MPG,,,,,,,,54.853,0.04883,0.022116,7.614,-0.00830,0.020935,TWC,Three-way catalyst,N,,,N,No averaging
2018,BMW,BMX,BMW,230i Convertible,V646702,0,2.000,HBMXV02.0B4X,Car,248,4,2.0-B46-F23,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",2,Top gear ratio < 1,4000,2.81,25.2,1,Not eqipped,HBMX10043924,MFR,No,,,,,3,HWFE,61,Tier 2 Cert Gasoline,HWY,0.0009200,0.0829000,195.2600000,0.0019000,,0.0006600,,45.8,MPG,,,,,4.9550000,4.4800000,0.1200000,51.900,-0.19900,0.021880,21.000,0.25500,0.016120,TWC,Three-way catalyst,N,,,N,No averaging
