,votes_dem,votes_gop,total_votes,per_dem,per_gop,diff,per_point_diff,state_abbr,county_name,combined_fips
0,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2013
1,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2016
2,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2020
3,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2050
4,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2060
5,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2068
6,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2070
7,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2090
8,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2100
9,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2105
10,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2110
11,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2122
12,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2130
13,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2150
14,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2164
15,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2170
16,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2180
17,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2185
18,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2188
19,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2195
20,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2198
21,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2220
22,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2230
23,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2240
24,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2261
25,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2270
26,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2275
27,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2282
28,93003,130413,246588,0.377159472,0.528870018,37410,0.15,AK,Alaska,2290
29,5908,18110,24661,0.23956855,0.734357893,12202,0.49,AL,Autauga County,1001
30,18409,72780,94090,0.195653098,0.77351472,54371,0.58,AL,Baldwin County,1003
31,4848,5431,10390,0.466602502,0.522714148,583,0.06,AL,Barbour County,1005
32,1874,6733,8748,0.214220393,0.769661637,4859,0.56,AL,Bibb County,1007
33,2150,22808,25384,0.084699023,0.898518752,20658,0.81,AL,Blount County,1009
34,3530,1139,4701,0.750904063,0.242288875,2391,0.51,AL,Bullock County,1011
35,3716,4891,8685,0.427864134,0.563154865,1175,0.14,AL,Butler County,1013
36,13197,32803,47376,0.278558764,0.692396994,19606,0.41,AL,Calhoun County,1015
37,5763,7803,13778,0.418275512,0.56633764,2040,0.15,AL,Chambers County,1017
38,1524,8809,10503,0.1451014,0.838712749,7285,0.69,AL,Cherokee County,1019
39,2909,15068,18255,0.159353602,0.825417694,12159,0.67,AL,Chilton County,1021
40,3109,4102,7268,0.427765548,0.564391855,993,0.14,AL,Choctaw County,1023
41,5712,7109,12936,0.441558442,0.549551639,1397,0.11,AL,Clarke County,1025
42,1234,5230,6572,0.187766281,0.795800365,3996,0.61,AL,Clay County,1027
43,684,5738,6532,0.104715248,0.878444581,5054,0.77,AL,Cleburne County,1029
44,4194,15825,20513,0.204455711,0.771462,11631,0.57,AL,Coffee County,1031
45,7296,16718,24626,0.296272233,0.678875985,9422,0.38,AL,Colbert County,1033
46,3069,3413,6543,0.469050894,0.521626165,344,0.05,AL,Conecuh County,1035
47,1780,3376,5223,0.340800306,0.646371817,1596,0.31,AL,Coosa County,1037
48,2379,13222,15818,0.15039828,0.835883171,10843,0.69,AL,Covington County,1039
49,1663,4511,6252,0.265994882,0.721529111,2848,0.46,AL,Crenshaw County,1041
50,3730,32734,37278,0.100059016,0.878105049,29004,0.78,AL,Cullman County,1043
51,4408,13798,18617,0.236772842,0.741150561,9390,0.5,AL,Dale County,1045
52,12826,5784,18730,0.684783769,0.308809397,7042,0.38,AL,Dallas County,1047
53,3682,21779,26086,0.141148509,0.834892279,18097,0.69,AL,DeKalb County,1049
54,8436,27619,36905,0.228586912,0.748380978,19183,0.52,AL,Elmore County,1051
55,4698,10282,15213,0.308814829,0.675869322,5584,0.37,AL,Escambia County,1053
56,10350,32132,43474,0.238073331,0.739108433,21782,0.5,AL,Etowah County,1055
57,1358,6705,8196,0.165690581,0.818081991,5347,0.65,AL,Fayette County,1057
58,2197,9466,11955,0.18377248,0.791802593,7269,0.61,AL,Franklin County,1059
59,1522,9967,11659,0.130542928,0.854876061,8445,0.72,AL,Geneva County,1061
60,4006,838,4862,0.823940765,0.172357055,3168,0.65,AL,Greene County,1063
61,4772,3172,8010,0.595755306,0.396004994,1600,0.2,AL,Hale County,1065
62,2286,5623,8017,0.285144069,0.701384558,3337,0.42,AL,Henry County,1067
63,10547,30567,42030,0.250939805,0.727266238,20020,0.48,AL,Houston County,1069
64,3663,16643,20785,0.17623286,0.800721674,12980,0.62,AL,Jackson County,1071
65,151581,130614,290111,0.522493115,0.450220778,20967,0.07,AL,Jefferson County,1073
66,1035,5819,6931,0.149329101,0.839561391,4784,0.69,AL,Lamar County,1075
67,9877,27735,38813,0.254476593,0.714580166,17858,0.46,AL,Lauderdale County,1077
68,3611,10732,14623,0.246939752,0.73391233,7121,0.49,AL,Lawrence County,1079
69,20987,34321,57668,0.363928002,0.595148089,13334,0.23,AL,Lee County,1081
70,9340,28824,39400,0.237055838,0.731573604,19484,0.49,AL,Limestone County,1083
71,4882,1751,6676,0.731276213,0.262282804,3131,0.47,AL,Lowndes County,1085
72,7237,1394,8748,0.827274806,0.159350709,5843,0.67,AL,Macon County,1087
73,62435,89199,159473,0.39150828,0.559336063,26764,0.17,AL,Madison County,1089
74,5607,5224,10948,0.512148338,0.477164779,383,0.04,AL,Marengo County,1091
