FIPS Code,State,Area name,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 2010-2014","High school diploma only, 2010-2014","Some college or associate's degree, 2010-2014","Bachelor's degree or higher, 2010-2014","Percent of adults with less than a high school diploma, 2010-2014","Percent of adults with a high school diploma only, 2010-2014","Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults with a bachelor's degree or higher, 2010-2014"
00000,US,United States,,,"28,587,748","58,440,600","60,821,634","61,206,147",13.7,28.0,29.1,29.3
01000,AL,Alabama,,,"524,368","999,761","951,960","741,813",16.3,31.1,29.6,23.1
01001,AL,Autauga County,2,2,"5,012","12,139","11,132","7,950",13.8,33.5,30.7,21.9
01003,AL,Baldwin County,3,2,"14,615","38,401","42,104","38,147",11.0,28.8,31.6,28.6
01005,AL,Barbour County,6,6,"4,790","6,300","5,183","2,563",25.4,33.4,27.5,13.6
01007,AL,Bibb County,1,1,"3,466","6,283","4,328","1,606",22.1,40.1,27.6,10.2
01009,AL,Blount County,1,1,"8,567","13,471","12,225","4,789",21.9,34.5,31.3,12.3
01011,AL,Bullock County,6,6,"2,511","2,353","1,393","1,026",34.5,32.3,19.1,14.1
01013,AL,Butler County,6,6,"3,288","5,214","3,528","2,011",23.4,37.1,25.1,14.3
01015,AL,Calhoun County,3,2,"15,674","25,495","24,199","13,299",19.9,32.4,30.8,16.9
01017,AL,Chambers County,6,5,"5,367","8,885","6,658","2,911",22.5,37.3,28.0,12.2
01019,AL,Cherokee County,6,6,"3,856","6,747","5,620","2,583",20.5,35.9,29.9,13.7
01021,AL,Chilton County,1,1,"6,605","11,753","7,057","3,978",22.5,40.0,24.0,13.5
01023,AL,Choctaw County,9,10,"2,481","3,368","2,493","1,222",25.9,35.2,26.1,12.8
01025,AL,Clarke County,7,11,"3,424","7,566","4,175","2,055",19.9,43.9,24.2,11.9
01027,AL,Clay County,9,10,"2,418","3,487","2,890",825,25.1,36.2,30.0,8.6
01029,AL,Cleburne County,8,4,"2,543","3,982","2,694","1,089",24.7,38.6,26.1,10.6
01031,AL,Coffee County,4,5,"5,797","10,241","10,350","7,975",16.9,29.8,30.1,23.2
01033,AL,Colbert County,3,2,"6,222","12,851","12,230","6,706",16.4,33.8,32.2,17.6
01035,AL,Conecuh County,7,11,"2,142","3,826","2,219",743,24.0,42.8,24.8,8.3
01037,AL,Coosa County,8,3,"1,981","3,249","2,243",745,24.1,39.5,27.3,9.1
01039,AL,Covington County,6,6,"5,300","9,025","8,299","3,854",20.0,34.1,31.3,14.6
01041,AL,Crenshaw County,8,6,"2,205","3,678","2,456","1,188",23.1,38.6,25.8,12.5
01043,AL,Cullman County,4,3,"10,219","18,381","18,394","8,386",18.5,33.2,33.2,15.1
01045,AL,Dale County,4,5,"5,062","10,301","12,178","5,588",15.3,31.1,36.8,16.9
01047,AL,Dallas County,4,5,"6,183","9,811","7,699","4,006",22.3,35.4,27.8,14.5
01049,AL,DeKalb County,6,6,"12,650","16,418","12,689","5,324",26.9,34.9,27.0,11.3
01051,AL,Elmore County,2,2,"6,924","19,002","16,489","11,549",12.8,35.2,30.6,21.4
01053,AL,Escambia County,6,6,"5,554","10,431","6,667","3,242",21.4,40.3,25.7,12.5
01055,AL,Etowah County,3,2,"12,837","23,147","24,606","11,046",17.9,32.3,34.3,15.4
01057,AL,Fayette County,6,6,"2,853","4,543","2,890","1,649",23.9,38.1,24.2,13.8
01059,AL,Franklin County,6,6,"5,416","7,706","5,726","2,314",25.6,36.4,27.1,10.9
01061,AL,Geneva County,3,2,"4,108","7,221","5,298","2,106",21.9,38.5,28.3,11.2
01063,AL,Greene County,8,6,"1,468","2,159","1,583",678,24.9,36.7,26.9,11.5
01065,AL,Hale County,3,2,"2,130","4,225","2,560","1,449",20.6,40.8,24.7,14.0
01067,AL,Henry County,3,2,"2,519","4,407","3,319","2,062",20.5,35.8,27.0,16.8
01069,AL,Houston County,3,2,"10,952","23,629","21,152","13,990",15.7,33.9,30.3,20.1
01071,AL,Jackson County,6,5,"9,187","13,893","9,278","4,812",24.7,37.4,25.0,12.9
01073,AL,Jefferson County,1,1,"54,313","117,854","136,556","134,400",12.3,26.6,30.8,30.3
01075,AL,Lamar County,8,7,"2,237","3,863","2,861","1,151",22.1,38.2,28.3,11.4
01077,AL,Lauderdale County,3,2,"10,016","21,065","17,779","13,900",16.0,33.6,28.3,22.1
01079,AL,Lawrence County,3,2,"5,130","9,224","6,410","2,647",21.9,39.4,27.4,11.3
01081,AL,Lee County,3,2,"10,676","22,256","24,216","28,447",12.5,26.0,28.3,33.2
01083,AL,Limestone County,2,2,"10,367","18,672","16,805","13,754",17.4,31.3,28.2,23.1
01085,AL,Lowndes County,2,2,"1,988","2,468","1,860",961,27.3,33.9,25.6,13.2
01087,AL,Macon County,6,6,"2,356","3,822","3,989","2,442",18.7,30.3,31.6,19.4
01089,AL,Madison County,2,2,"22,776","48,645","69,563","88,796",9.9,21.2,30.3,38.6
01091,AL,Marengo County,7,11,"2,185","5,798","3,735","2,225",15.7,41.6,26.8,16.0
01093,AL,Marion County,7,11,"5,451","7,402","6,451","2,409",25.1,34.1,29.7,11.1
01095,AL,Marshall County,4,5,"14,318","20,310","17,790","10,088",22.9,32.5,28.5,16.1
01097,AL,Mobile County,2,2,"41,121","89,075","83,236","58,139",15.1,32.8,30.6,21.4
01099,AL,Monroe County,7,11,"3,229","6,178","3,801","1,885",21.4,40.9,25.2,12.5
01101,AL,Montgomery County,2,2,"22,135","38,650","40,357","46,026",15.0,26.3,27.4,31.3
01103,AL,Morgan County,3,2,"14,785","26,021","24,504","16,199",18.1,31.9,30.1,19.9
01105,AL,Perry County,8,4,"1,901","2,421","1,362",568,30.4,38.7,21.8,9.1
01107,AL,Pickens County,3,2,"2,901","5,771","3,585","1,305",21.4,42.6,26.4,9.6
01109,AL,Pike County,6,5,"3,856","6,490","4,385","4,547",20.0,33.7,22.7,23.6
01111,AL,Randolph County,6,4,"3,965","5,920","3,713","1,927",25.5,38.1,23.9,12.4
01113,AL,Russell County,2,2,"6,959","12,119","12,402","5,755",18.7,32.5,33.3,15.5
01115,AL,St. Clair County,1,1,"10,327","20,876","18,411","9,087",17.6,35.6,31.4,15.5
01117,AL,Shelby County,1,1,"11,778","28,911","40,082","54,284",8.7,21.4,29.7,40.2
01119,AL,Sumter County,8,6,"1,895","3,321","1,810","1,242",22.9,40.2,21.9,15.0
01121,AL,Talladega County,4,3,"11,388","21,130","16,466","6,967",20.4,37.8,29.4,12.5
01123,AL,Tallapoosa County,6,6,"5,696","10,269","7,865","5,091",19.7,35.5,27.2,17.6
01125,AL,Tuscaloosa County,3,2,"15,570","36,978","34,061","33,226",13.0,30.9,28.4,27.7
01127,AL,Walker County,1,1,"10,522","16,179","14,282","4,918",22.9,35.2,31.1,10.7
01129,AL,Washington County,8,7,"2,070","5,569","2,672","1,179",18.0,48.5,23.3,10.3
01131,AL,Wilcox County,9,10,"1,596","3,146","1,864",860,21.4,42.1,25.0,11.5
01133,AL,Winston County,6,4,"4,535","5,770","5,083","1,922",26.2,33.3,29.4,11.1
02000,AK,Alaska,,,"37,700","126,611","168,570","127,438",8.2,27.5,36.6,27.7
02010,AK,Aleutian Islands,,,,,,,,,,
02013,AK,Aleutians East Borough,9,12,522,"1,028",674,320,20.5,40.4,26.5,12.6
02016,AK,Aleutians West Census Area,9,11,592,"1,498","1,364",630,14.5,36.7,33.4,15.4
02020,AK,Anchorage Municipality,2,2,"14,044","43,914","68,189","61,968",7.5,23.3,36.2,32.9
02050,AK,Bethel Census Area,7,11,"1,833","3,854","2,513","1,053",19.8,41.7,27.2,11.4
02060,AK,Bristol Bay Borough,9,12,59,191,283,135,8.8,28.6,42.4,20.2
02068,AK,Denali Borough,8,7,129,368,499,416,9.1,26.1,35.3,29.5
02070,AK,Dillingham Census Area,9,12,431,987,881,456,15.6,35.8,32.0,16.6
02090,AK,Fairbanks North Star Borough,3,2,"4,013","14,629","23,296","18,439",6.6,24.2,38.6,30.5
02100,AK,Haines Borough,9,12,80,591,618,587,4.3,31.5,32.9,31.3
02105,AK,Hoonah-Angoon Census Area,9,10,162,485,492,472,10.1,30.1,30.5,29.3
02110,AK,Juneau City and Borough,5,8,"1,182","4,699","7,780","8,287",5.4,21.4,35.4,37.8
02122,AK,Kenai Peninsula Borough,7,11,"2,599","12,512","14,540","8,985",6.7,32.4,37.6,23.3
02130,AK,Ketchikan Gateway Borough,7,8,664,"3,106","3,209","2,279",7.2,33.5,34.7,24.6
02150,AK,Kodiak Island Borough,7,11,762,"2,183","3,703","1,832",9.0,25.7,43.7,21.6
02160,AK,Kuskokwim Division,,,,,,,,,,
02164,AK,Lake and Peninsula Borough,9,12,124,335,259,114,14.9,40.3,31.1,13.7
02170,AK,Matanuska-Susitna Borough,2,2,"4,439","18,985","23,338","12,374",7.5,32.1,39.5,20.9
02180,AK,Nome Census Area,7,11,819,"2,275","1,468",787,15.3,42.5,27.4,14.7
02185,AK,North Slope Borough,7,11,808,"2,214","2,388",837,12.9,35.4,38.2,13.4
02188,AK,Northwest Arctic Borough,7,11,823,"1,666","1,013",479,20.7,41.8,25.4,12.0
02195,AK,Petersburg Census Area,9,11,104,752,841,571,4.6,33.2,37.1,25.2
02198,AK,Prince of Wales-Hyder Census Area,9,10,380,"1,802","1,406",697,8.9,42.1,32.8,16.3
02201,AK,Prince of Wales-Outer Ketchikan Census Area,,,,,,,,,,
02220,AK,Sitka City and Borough,7,11,492,"1,337","2,311","2,029",8.0,21.7,37.5,32.9
02230,AK,Skagway Municipality,9,12,24,212,242,253,3.3,29.0,33.1,34.6
02231,AK,Skagway-Yakutat-Angoon Census Area,,,,,,,,,,
02232,AK,Skagway-Hoonah-Angoon Census Area,,,,,,,,,,
02240,AK,Southeast Fairbanks Census Area,9,12,360,"1,401","1,785",923,8.1,31.3,39.9,20.7
02250,AK,Upper Yukon Division,,,,,,,,,,
02261,AK,Valdez-Cordova Census Area,9,11,547,"1,716","2,649","1,560",8.5,26.5,40.9,24.1
02270,AK,Wade Hampton Census Area,9,12,817,"1,705",847,160,23.2,48.3,24.0,4.5
02275,AK,Wrangell City and Borough,9,12,204,667,659,351,10.8,35.5,35.0,18.7
02280,AK,Wrangell-Petersburg Census Area,,,,,,,,,,
02282,AK,Yakutat City and Borough,9,12,35,168,139,87,8.2,39.2,32.4,20.3
02290,AK,Yukon-Koyukuk Census Area,9,12,652,"1,331","1,184",357,18.5,37.8,33.6,10.1
04000,AZ,Arizona,,,"604,392","1,050,079","1,469,229","1,161,076",14.1,24.5,34.3,27.1
04001,AZ,Apache County,6,6,"10,347","14,051","14,049","4,320",24.2,32.9,32.9,10.1
