"","state_abbr","county_name","RuralUrbanCode","Winner","Population","Poverty","PovertyPercent","EDU_LessHSDiploma","EDU_HSDiploma","EDU_SomeCollegeorAS","EDU_BSorHigher","UnemploymentRate","Married","Divorced","GINI_Coeff","HHMedianIncome","HHMeanIncome","PerCapitaPI","Diabetes","Inactivity","Obesity","Uninsured","OpiodRx","USDANaturalAmenityScale","USDANaturalAmenityRank","RUC_1","RUC_2","RUC_3","RUC_4","RUC_5","RUC_6","RUC_7","RUC_8","lg_Population","lg_Poverty","lg_PovertyPercent","lg_EDU_LessHSDiploma","lg_EDU_HSDiploma","lg_EDU_SomeCollegeorAS","lg_EDU_BSorHigher","lg_UnemploymentRate","lg_Married","lg_Divorced","lg_GINI_Coeff","lg_HHMedianIncome","lg_HHMeanIncome","lg_PerCapitaPI","lg_Diabetes","lg_Inactivity","lg_Obesity","lg_Uninsured","lg_OpioidRx","combined_fips"
"1","AL","Autauga County","2","1",54860,6966,12.7,12.8,33.5,30.4,23.2,5.2,54.8,12.5,41.8,51281,64765,37773,13,28.6,34.1,8,9.72,0.78,4,0,1,0,0,0,0,0,0,10.9125397644916,8.84879645092595,2.54160199346455,2.54944517092557,3.51154543883102,3.41444260841218,3.14415227867226,1.64865862558738,4.00369019395397,2.52572864430826,3.73289633953071,10.8450755921844,11.0785206129644,10.5393498406698,2.56494935746154,3.35340671782581,3.52929738428947,2.07944154167984,2.27418561847235,1001
"2","AL","Baldwin County","3","1",201006,25941,12.9,10.5,28.8,31.8,29,5.5,53.8,12.8,44.4,50254,68169,40121,10.4,22.3,27.4,8,9.05,1.82,4,0,0,1,0,0,0,0,0,12.211090037342,10.1635800076285,2.55722731136763,2.35137525716348,3.3603753871419,3.45946628978613,3.36729582998647,1.70474809223843,3.98527346716774,2.54944517092557,3.79323946943818,10.8248454247433,11.1297451950399,10.5996551669896,2.34180580614733,3.10458667846607,3.31054301339402,2.07944154167984,2.20276475771183,1003
"3","AL","Barbour County","6","1",23066,7380,32,26.7,34.5,26.3,12.5,8.9,41.5,13.9,47,32964,44688,31443,18.4,31.8,44.4,15,5.74,0.19,4,0,0,0,0,0,1,0,0,10.0461149507859,8.90652891759452,3.46573590279973,3.2846635654062,3.54095932403731,3.26956893918372,2.52572864430826,2.18605127673809,3.72569342723665,2.63188884013665,3.85014760171006,10.4031713358833,10.707460288185,10.3559316618383,2.91235066461494,3.45946628978613,3.79323946943818,2.70805020110221,1.74745921033147,1005
"4","AL","Bibb County","1","1",20326,4516,22.2,19.3,42.1,27.9,10.6,6.6,49,12.3,44.3,38678,52241,29075,14.8,33.9,40.3,10,4.73,-0.15,3,1,0,0,0,0,0,0,0,9.91965613369771,8.41538192526955,3.10009228887823,2.96010509591084,3.74004774068834,3.32862668882732,2.36085400111802,1.88706964903238,3.89182029811063,2.50959926237837,3.79098467705109,10.5630262419222,10.8636229061867,10.2776339773869,2.69462718077007,3.5234150143864,3.69635146895264,2.30258509299405,1.55392520250384,1007
"5","AL","Blount County","1","1",57116,8399,14.7,21.5,33.4,32.2,12.9,5.4,59,11.4,40.1,45813,54884,31663,14.1,28,34.6,10,6.16,0.23,4,1,0,0,0,0,0,0,0,10.9528395665502,9.03586793012563,2.68784749378469,3.06805293513362,3.50855589998265,3.47196645255036,2.55722731136763,1.68639895357023,4.07753744390572,2.43361335540045,3.69137633431252,10.7323231726213,10.9129771460411,10.3629040857368,2.64617479738412,3.3322045101752,3.54385368206368,2.30258509299405,1.81807677754543,1009
"6","AL","Bullock County","6","0",8956,3544,39.6,35.1,33.3,17.7,13.9,7.8,28.9,11.6,-99,31938,41947,25929,19.6,31.7,43,17,3.88,-1.08,3,0,0,0,0,0,1,0,0,9.10007897771865,8.17301131172497,3.67882911826043,3.55820113047182,3.5055573969864,2.87356463957978,2.63188884013665,2.05412373369555,3.36384159511839,2.45100509811232,-99,10.3715518024008,10.6441621956313,10.1631173124207,2.97552956623647,3.45631668088323,3.76120011569356,2.83321334405622,1.35583515363518,1011
"7","AL","Butler County","6","1",19799,5100,25.8,22.2,37.7,25.6,14.5,7.5,43.4,12.1,45.5,32229,43972,33518,17.7,34.4,36.3,14,8.62,-1.16,3,0,0,0,0,0,1,0,0,9.8933867103567,8.53699581871242,3.25037449192757,3.10009228887823,3.62966009445396,3.24259235148552,2.67414864942653,2.01490302054226,3.77045944110636,2.4932054526027,3.8177123259569,10.3806219473347,10.6913083466988,10.4198378869448,2.87356463957978,3.53805656437935,3.5918177412708,2.63905732961526,2.1540850846756,1013
"8","AL","Calhoun County","3","1",112727,22579,20,19.1,31.8,31.5,17.6,7,48.2,13.6,45.5,41703,53457,33418,14.9,31.3,32.2,11,8.11,0.22,4,0,0,1,0,0,0,0,0,11.6327242454251,10.0247755497433,2.99573227355399,2.94968833505258,3.45946628978613,3.44998754583159,2.86789890204411,1.94591014905531,3.87535902105655,2.61006979274201,3.8177123259569,10.6383283476452,10.8866328713955,10.4168499559541,2.70136121295141,3.44361809754611,3.47196645255036,2.39789527279837,2.09309786812732,1015
"9","AL","Chambers County","6","1",33653,7532,22.4,21.1,38.4,29,11.6,6,43.9,14.7,48.1,34177,49456,31282,16.4,31.6,39.7,13,7.86,-0.34,3,0,0,0,0,0,1,0,0,10.423857484145,8.92691588977704,3.10906095886099,3.04927304048202,3.64805745959368,3.36729582998647,2.45100509811232,1.79175946922805,3.78191432008113,2.68784749378469,3.87328217711172,10.4393081821914,10.8088386643719,10.3507981312342,2.79728133483015,3.45315712059287,3.68135118769314,2.56494935746154,2.06178660644112,1017
"10","AL","Cherokee County","6","1",25519,4961,19.4,20.5,36.4,29.3,13.8,5.4,62.1,11.1,45.8,36296,50591,32645,13.3,33.5,33.6,10,8.22,0.64,4,0,0,0,0,0,1,0,0,10.147178551738,8.50936261230105,2.96527306606928,3.02042488614436,3.5945687746427,3.37758751602302,2.62466859216316,1.68639895357023,4.12874598893943,2.40694510831829,3.82428409112014,10.4994628213438,10.8315289738429,10.3934469836207,2.58776403522771,3.51154543883102,3.51452606696916,2.30258509299405,2.10657020906809,1019
