"","Represented.Test.Veh.Make","Model","Vehicle.Type","HorsePower","Cylinders","Tested.Transmission.Type.Code","Tested.Transmission.Type","Gears","Drive.System.Code","Weight","AxleRatio","Test.Procedure.Cd","Test.Procedure.Description","Test.Fuel.Type.Cd","Test.Fuel.Type.Description","FuelEcon"
"1","Aston Martin","Rapide S","Car",552,"12","SA","Semi-Automatic","8","R",4750,2.73,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",17.3
"2","Aston Martin","Vanquish","Car",568,"12","SA","Semi-Automatic","8","R",4500,2.73,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",16.5
"3","BENTLEY","Continental GT","Car",616,"12","SA","Semi-Automatic","8","F",6000,2.85,"90","US06","61","Tier 2 Cert Gasoline",17.4
"4","BENTLEY","Continental GT","Car",616,"12","SA","Semi-Automatic","8","F",6000,2.85,"11","Cold CO","27","Cold CO Premium (Tier 2)",13.6
"5","BMW","230i Convertible","Car",248,"4","SA","Semi-Automatic","8","R",4000,2.81,"3","HWFE","61","Tier 2 Cert Gasoline",45.8
"6","BMW","230i Coupe","Car",248,"4","M","Manual","6","R",3625,3.91,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",26.4
"7","BMW","230i Coupe","Car",248,"4","SA","Semi-Automatic","8","R",3625,2.81,"3","HWFE","61","Tier 2 Cert Gasoline",50.6
"8","BMW","230i xDrive Convertible","Car",248,"4","SA","Semi-Automatic","8","R",4000,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.6
"9","BMW","230i xDrive Coupe","Car",248,"4","SA","Semi-Automatic","8","R",3750,2.81,"21","Federal fuel 2-day exhaust (w/can load)","61","Tier 2 Cert Gasoline",30.3
"10","BMW","320i","Both",181,"4","A","Automatic","8","R",3625,3.2,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",30.4
"11","BMW","320i","Both",180,"4","M","Manual","6","R",3625,3.08,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.5
"12","BMW","320i xDrive","Both",181,"4","A","Automatic","8","R",3750,3.15,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.9
"13","BMW","328d","Car",183,"4","SA","Semi-Automatic","8","R",3750,2.81,"2","CVS 75 and later (w/o can. load)","19","Federal Cert Diesel 7-15 PPM Sulfur",42.2
"14","BMW","328d xDrive","Car",181,"4","SA","Semi-Automatic","8","R",4000,2.81,"2","CVS 75 and later (w/o can. load)","19","Federal Cert Diesel 7-15 PPM Sulfur",41.2
"15","BMW","328d xDrive Sports Wagon","Car",181,"4","SA","Semi-Automatic","8","R",4250,2.81,"3","HWFE","19","Federal Cert Diesel 7-15 PPM Sulfur",57.2
"16","BMW","330e","Car",180,"4","SA","Semi-Automatic","8","R",4250,2.93,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",35.6
"17","BMW","330i","Car",248,"4","SA","Semi-Automatic","8","R",3875,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",30.8
"18","BMW","330i","Car",248,"4","M","Manual","6","R",3750,3.91,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",26.7
"19","BMW","330i xDrive","Car",248,"4","SA","Semi-Automatic","8","R",4000,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.7
"20","BMW","330i xDrive Gran Turismo","Car",248,"4","SA","Semi-Automatic","8","R",4250,2.93,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.3
"21","BMW","330i xDrive Sports Wagon","Car",248,"4","SA","Semi-Automatic","8","R",4250,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",28.6
"22","BMW","340i","Car",320,"6","SA","Semi-Automatic","8","R",4000,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29
"23","BMW","340i","Car",320,"6","M","Manual","6","R",4000,3.23,"3","HWFE","61","Tier 2 Cert Gasoline",41.2
"24","BMW","340i xDrive","Car",320,"6","SA","Semi-Automatic","8","R",4000,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.2
"25","BMW","340i xDrive","Car",320,"6","M","Manual","6","R",4000,3.23,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",24.7
"26","BMW","340i xDrive Gran Turismo","Car",322,"6","SA","Semi-Automatic","8","R",4500,2.93,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",27.4
"27","BMW","430i Convertible","Car",248,"4","SA","Semi-Automatic","8","R",4250,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",30.2
"28","BMW","430i Coupe","Car",248,"4","SA","Semi-Automatic","8","R",3875,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",30.7
"29","BMW","430i Coupe","Car",248,"4","M","Manual","6","R",3875,3.91,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",26.6
"30","BMW","430i Gran Coupe","Car",248,"4","SA","Semi-Automatic","8","R",4000,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",30
"32","BMW","430i xDrive Coupe","Car",248,"4","SA","Semi-Automatic","8","R",4000,2.81,"31","Federal fuel 3-day exhaust","61","Tier 2 Cert Gasoline",29.6
